study,id_exp,id,author,LogRoM,vi,Guild,Condition,Unit,Biome,Air.Temperature,Time,Abs.Latitude,CN 
Av2016,1,id_1,Averill et al. 2016,-0.31162228,0.00753153,ECM,Field,Respiration,TDF,17.4,70,42.533333,33.14989138
Av2016,1,id_2,Averill et al. 2016,0.356159347,0.00742278,ECM,Field,Respiration,TDF,17.4,91,42.533333,26.54668166
Av2016,1,id_3,Averill et al. 2016,-0.06021886,0.015113452,ECM,Field,Respiration,TDF,17.4,91,42.533333,28.12720848
Av2016,1,id_4,Averill et al. 2016,-0.018416727,0.007403742,ECM,Field,Respiration,TDF,17.4,91,42.533333,33.14989138
St2018,2,id_5,Sterkenburg et al. 2018,-0.103213241,0.002335867,ECM,Field,Mass ,BOR,8.5,122,59.952194,NA
St2018,2,id_6,Sterkenburg et al. 2018,-0.066055546,0.00098322,ECM,Field,Mass ,BOR,8.5,487,59.952194,NA
Fe2020,3,id_7,Fernandez et al. 2020,-0.214622502,0.011698072,ECM,Field,Mass ,TEF,8.17,365,45.42577,82
Fe2020,3,id_8,Fernandez et al. 2020,-0.035510617,0.013386102,ECM,Field,Mass ,TDF,8.17,365,45.42142,43.66
Tr2016,4,id_9,Trap et al. 2016,0.089678757,0.014048724,ECM,Controlled ,Mass ,TDF,27,182.5,49.733333,40.1
Tr2016,4,id_10,Trap et al. 2016,0.455302941,0.039510407,ECM,Controlled ,Mass ,TDF,27,182.5,49.733333,50.6
Tr2016,4,id_11,Trap et al. 2016,-0.564288694,0.030350693,ECM,Controlled ,Mass ,TDF,27,182.5,49.733333,40.1
Tr2016,4,id_12,Trap et al. 2016,-0.931739643,0.110229055,ECM,Controlled ,Mass ,TDF,27,182.5,49.733333,50.6
Fa2020,5,id_13,Fang et al. 2020,0.184922338,0.00584088,ECM,Field,k,TRO,19.8,243,23.45,32
Fa2020,5,id_14,Fang et al. 2020,0.160930367,0.006032492,ECM,Field,k,TRO,19.8,243,23.45,35.8
Ca2021,6,id_15,Carteron et al. 2021,0.070712181,0.004042211,ECM,Field,Mass ,TDF,4.3,730,45.988093,27.36
Ca2021,6,id_16,Carteron et al. 2021,0.123310093,0.006317184,ECM,Field,Mass ,TDF,4.3,730,45.988093,22.32
Ca2021,6,id_17,Carteron et al. 2021,0.044018956,0.012813186,ECM,Field,Mass ,TDF,4.3,730,45.988093,20.09
Li2021,7,id_18,Liu et al. 2021,NA,NA,ECM,Field,Respiration,TRO,16.2,426,29.8,15.29
Li2019,8,id_19,Li et al. 2019,NA,NA,ECM,Controlled ,Mass ,TP,17.9,730,26.733333,48
Li2019,8,id_20,Li et al. 2019,NA,NA,ECM,Controlled ,Mass ,TP,17.9,730,26.733333,48.8
La2006,9,id_21,Langley et al. 2006,0.229574442,0.443178718,ECM,Field,Mass ,TEF,7.7,730,35.3642,28.6
La2006,9,id_22,Langley et al. 2006,-0.041242959,0.008181329,ECM,Field,Mass ,TEF,7.7,730,35.3642,65.5
Si2019,10,id_23,Sietio et al. 2019,0.132598125,0.328911763,ECM,Field,Mass ,BOR,NA,1095,61.85,NA
GG1975,11,id_24,Gadgil & Gadgil 1975,-0.111521274,0.000654655,ECM,Controlled ,Mass ,TEP,16,182.5,38.4085,NA
GG1978,12,id_25,Gadgil & Gadgil 1978,-0.175728158,0.002382862,ECM,Field,Mass ,TEP,NA,365,38.133333,NA
En1991,13,id_26,Entry et al. 1991,0.102278849,2.86E-05,ECM,Field,k,TEF,10.6,365,44.475,NA
St1988,14,id_27,Staaf 1988,-0.073665135,0.00503511,ECM,Field,Mass ,TDF,7,730,55.766667,NA
St1988,14,id_28,Staaf 1988,0.037960762,0.001509093,ECM,Field,Mass ,TDF,7,730,55.766667,NA
Be2021,15,id_29,Beidler et al. 2021,-0.39907531,0.008175752,ECM,Field,Mass ,TDF,11.06,365,39.083333,40.75
Yi2021,16,id_30,Yin et al. 2021,-0.011187189,0.034393455,ECM,Controlled ,13C Respiration,AGR,27,140,41.516667,13.14
Yi2021,16,id_31,Yin et al. 2021,0.120936964,0.009080603,ECM,Controlled ,13C Respiration,AGR,27,140,41.516667,13.14
Yi2021,16,id_32,Yin et al. 2021,0.179463784,0.000949827,ECM,Controlled ,13C Respiration,AGR,27,140,41.516667,13.14
MH2005,17,id_33,Mayor & Henkel 2005,0,0.009991837,ECM,Field,Mass ,TRO,23.5,365,5.301333,NA
Su2011,18,id_34,Subke et al. 2011,0.129211731,0.005674516,ECM,Field,Mass ,TEF,9,153,53.916667,NA
Ko2011,19,id_35,Koide et al. 2011,0,0.012067861,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Ko2011,19,id_36,Koide et al. 2011,0.066992689,0.011513167,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Ko2011,19,id_37,Koide et al. 2011,0.066992689,0.012152313,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Ko2011,19,id_38,Koide et al. 2011,0.101343115,0.013255217,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
